Name,Story,Genres,Certificate
The Stand,"After the mass destruction caused by a manmade virus called ""Captain Trips."" A false messiah emerges, possessing incredible powers and hellbent to rule the remaining human society. It's up to a group of people to journey the post-apocalyptic wasteland to stop him and his army.","Adventure ,Drama ,Fantasy ,Horror ,Sci-Fi ,Thriller",TV-MA
Schitt's Creek,"When filthy-rich video store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup and rebuild their empire from within the rural city limits of their only remaining asset - Schitt's Creek, an armpit of a town they once bought as a joke.",Comedy,TV-14
The Walking Dead,"Sheriff Deputy Rick Grimes gets shot and falls into a coma. When awoken he finds himself in a Zombie Apocalypse. Not knowing what to do he sets out to find his family, after he's done that, he gets connected to a group to become the leader. He takes charge and tries to help this group of people survive, find a place to live and get them food. This show is all about survival, the risks and the things you'll have to do to survive.","Drama ,Horror ,Thriller",TV-MA
Grey's Anatomy,"A medical based drama centered around Meredith Grey, an aspiring surgeon and daughter of one of the best surgeons, Dr. Ellis Grey. Throughout the series, Meredith goes through professional and personal challenges along with fellow surgeons at Seattle Grace Hospital.","Drama ,Romance",TV-14
Breaking Bad,"When chemistry teacher Walter White is diagnosed with Stage III cancer and given only two years to live, he decides he has nothing to lose. He lives with his teenage son, who has cerebral palsy, and his wife, in New Mexico. Determined to ensure that his family will have a secure future, Walt embarks on a career of drugs and crime. He proves to be remarkably proficient in this new world as he begins manufacturing and selling methamphetamine with one of his former students. The series tracks the impacts of a fatal diagnosis on a regular, hard working man, and explores how a fatal diagnosis affects his morality and transforms him into a major player of the drug trade.","Crime ,Drama ,Thriller",TV-MA
Outlander,"Follows the story of Claire Randall, a married combat nurse from 1945 who is mysteriously swept back in time to 1743, where she is immediately thrown into an unknown world in which her life is threatened. When she is forced to marry Jamie Fraser, a chivalrous and romantic young Scottish warrior, a passionate relationship is ignited that tears Claire's heart between two vastly different men in two irreconcilable lives.","Drama ,Fantasy ,Romance",TV-MA
Yellowstone,"Yellowstone follows the Dutton family, led by John Dutton, who controls the largest contiguous ranch in the United States, under constant attack by those it borders - land developers, an Indian reservation, and America's first National Park. It is an intense study of a violent world far from media scrutiny - where land grabs make developers billions, and politicians are bought and sold by the world's largest oil and lumber corporations. Where drinking water poisoned by fracking wells and unsolved murders are not news: they are a consequence of living in the new frontier. It is the best and worst of America seen through the eyes of a family that represents both.","Drama ,Western",TV-MA
Criminal Minds,"Based in Quantico, Virginia, the Behavioral Analysis Unit (B.A.U.) is a subsection of the F.B.I. Called in by local Police departments to assist in solving crimes of a serial and/or extremely violent nature where the perpetrator is unknown (referred to by the Unit as the unknown subject or ""unsub"" for short), the B.A.U. uses the controversial scientific art of profiling to track and apprehend the unsub. Profiling entails coming up with basic characteristics of the unsub and the victims (referred to as the victimology), using evidence from the case and matching that information to historic precedents and psychological analyses as a means to solve the case. Because of the nature of the work conducted by the B.A.U. - the work being time consuming and psychologically demanding - its members are fiercely loyal to the Unit and to its other members. Also because of the work's overall demanding nature, not many members of the B.A.U. have been able to maintain a happy or stable family life.","Crime ,Drama ,Mystery ,Thriller",TV-14
The Blacklist,"A highly articulate, erudite and intelligent businessman and mastermind, ""Red"" Reddington, has allegedly been on the ""10 Most Wanted List"" of various U.S. law enforcement agencies for over 20 years. The legend is that Red is as elusive as he is clever, controlling a labyrinth of creative enterprises, coupled with uncanny ability to gather and finesse information at the drop of a hat. On the first day at FBI for a new female profiler fresh out of Quantico, Red offers to bandy wits with the FBI. Red promises to deliver various criminals and plots previously unknown to any branch of law enforcement... and all Red requests in return is to choose his muse.","Crime ,Drama ,Mystery ,Thriller",TV-14
Supernatural,"This television drama is about the two Winchester brothers, Sam and Dean, who were raised by their father, John, to hunt and kill all things that go ""bump in the night"" after his wife, Mary, was murdered by an evil supernatural being when the boys were young. 22 years later the brothers set out on a journey, fighting evil along the way, to find their recently missing father who, when they finally meet up with, reveals he knows what killed their mother, a demon and has found a way to track and kill it. Meanwhile, Sam starts to develop frightening abilities that include death visions, visions of people dying before it actually happens. These visions are somehow connected to the demon who murdered his mother and its mysterious plans that seem to be all about Sam. When their father dies striking a deal with the very same devil that had killed his wife, the brothers, now alone and without their mentor, are determined to finish the crusade their father started. But disturbing revelations ...","Drama ,Fantasy ,Horror ,Mystery ,Thriller",TV-14
Shameless,"Watch the Irish American family the Gallaghers dealing with their alcoholic father Frank. Fiona, the eldest daughter, takes the role of the parent to her five brothers and sisters. Lip, Ian, Debbie, Carl, and Liam deal with life on the South Side of Chicago. Fiona balances her sex life and raising her siblings. Every episode is another crazy situation that one or more of the Gallagher six get into. Watch them grow and learn how to make their way in life with what little they have.","Comedy ,Drama",TV-MA
The Boys,"The Boys is set in a universe in which superpowered people are recognized as heroes by the general public and owned by a powerful corporation, Vought International, which ensures that they are aggressively marketed and monetized. Outside of their heroic personas, most are arrogant and corrupt. The series primarily focuses on two groups: the titular Boys, vigilantes looking to keep the corrupted heroes under control, and the Seven, Vought International's premier superhero team. The Boys are led by Billy Butcher, who despises all superpowered people, and the Seven are led by the egotistical and unstable Homelander. As a conflict ensues between the two groups, the series also follows the new members of each team: Hugh ""Hughie"" Campbell of the Boys, who joins the vigilantes after his girlfriend is killed in a high-speed collision by the Seven's A-Train, and Annie January/Starlight of the Seven, a young and hopeful heroine forced to face the truth about the heroes she admires.","Action ,Comedy ,Crime ,Sci-Fi",TV-MA
Stranger Things,"In a small town where everyone knows everyone, a peculiar incident starts a chain of events that leads to the disappearance of a child, which begins to tear at the fabric of an otherwise peaceful community. Dark government agencies and seemingly malevolent supernatural forces converge on the town, while a few of the locals begin to understand that there's more going on than meets the eye.","Drama ,Fantasy ,Horror ,Mystery ,Sci-Fi ,Thriller",TV-14
This Is Us,"Rebecca Pearson once had a difficult pregnancy with triplets. The resulting births occurred on the same day as her husband Jack Pearson's thirty-sixth birthday. The lives of Rebecca, Jack and their three offspring - Kevin, Kate and Randall - are presented at different points in time. The Rebecca and Jack stories generally take place during the early stage of their marriage, surrounding the birth of the three children or at different phases of the children's upbringing, which was not always smooth sailing for any of the five. Separate stories concerning Kevin, Kate and Randall are also presented in their adult years, each who has his or her own baggage resulting from that upbringing: Kevin who was generally the neglected one because he had no outward issues; Kate who has always had weight issues; Randall, the gifted one, being the visible outsider and being the ""non-K"" child. These stories may demonstrate the emotional ties that exist not only because of being family, but also because ...","Comedy ,Drama ,Romance",TV-14
NCIS: Naval Criminal Investigative Service,"Special Agent Leroy Jethro Gibbs is the leader of a team of special agents belonging to the NCIS (Naval Criminal Investigative Service) Major Case Response Team. Gibbs, a former Marine, is a tough investigator and a highly skilled interrogator who relies on his gut instinct as much as evidence. Gibbs' second in command is Senior Field Agent Tony DiNozzo, a womanizing, movie-quoting former Baltimore Homicide Detective, who despite being the class clown always gets the job done. The team also consists of probationary field agent Eleanor Bishop, a former NSA agent, as well as Junior Field Agent Timothy McGee, a computer-savvy agent often mocked by DiNozzo. Assisting them are Abby Sciuto, the energetic-but-Goth lab tech who is like a daughter to Gibbs, and Dr. Donald Mallard, nicknamed Ducky, the eccentric medical examiner full of unusual stories. This team of elite agents, based in Washington, D.C., solve criminal cases involving Marine and Navy personnel and their families, sometimes ...","Action ,Crime ,Drama ,Mystery ,Thriller",TV-14
American Gods,"Shadow is a man with a past. But now he wants nothing more than to live a quiet life with his wife and stay out of trouble. Until he learns that she's been killed in a terrible accident. Flying home for the funeral, as a violent storm rocks the plane, he is greeted by a strange man in the seat next to him. The man calls himself Mr. Wednesday, and he knows more about Shadow than is possible. He warns Shadow that a far bigger storm is coming. And from that moment on, nothing will ever be the same.","Drama ,Fantasy ,Mystery",TV-MA
Riverdale,"After the death of one of the rich and popular Blossom twins on the 4th of July, the small town of Riverdale investigates the murder. The series starts in September, the beginning of a new school year, that brings with it new students, relationships, and reveals the mysteries of the past 4th of July.","Crime ,Drama ,Mystery ,Romance",TV-14
The Big Bang Theory,"Leonard Hofstadter and Sheldon Cooper are both brilliant physicists working at Cal Tech in Pasadena, California. They are colleagues, best friends, and roommates, although in all capacities their relationship is always tested primarily by Sheldon's regimented, deeply eccentric, and non-conventional ways. They are also friends with their Cal Tech colleagues mechanical engineer Howard Wolowitz and astrophysicist Rajesh Koothrappali. The foursome spend their time working on their individual work projects, playing video games, watching science-fiction movies, or reading comic books. As they are self-professed nerds, all have little or no luck with women. When Penny, a pretty woman and an aspiring actress from Omaha, moves into the apartment across the hall from Leonard and Sheldon's, Leonard has another aspiration in life, namely to get Penny to be his girlfriend.","Comedy ,Romance",TV-PG
Lucifer,"Lucifer Morningstar, bored from his sulking life in hell, comes to live in Los Angeles. While there, he helps humanity with its miseries through his experience and telepathic abilities to bring people's deepest desires and thoughts out of them. While meeting with a Detective in his nightclub (Lux), a shootout involving him and the Detective leads him to become an LAPD consultant who tries to punish people for their crimes through law and justice.","Crime ,Drama ,Fantasy",TV-14
Big Sky,A private detective teams up with an ex-cop to solve a kidnapping case in Montana.,"Crime ,Drama ,Mystery ,Thriller",TV-14
Brooklyn Nine-Nine,"Captain Ray Holt takes over Brooklyn's 99th precinct, which includes Detective Jake Peralta, a talented but carefree detective who's used to doing whatever he wants. The other employees of the 99th precinct include Detective Amy Santiago, Jake's over achieving and competitive partner; Detective Rosa Diaz, a tough and kept to herself coworker; Detective Charles Boyle, Jake's best friend who also has crush on Rosa; Detective Sergeant Terry Jeffords, who was recently taken off the field after the birth of his twin girls; and Gina Linetti, the precinct's sarcastic administrator.","Comedy ,Crime",TV-14
Fargo,"The all new ""true crime"" case of Fargo's new chapter travels back to 1979 in Sioux Falls, South Dakota and Luverne, Minnesota, where a young State Police Officer Lou Solverson, recently back from Vietnam, investigates a case involving a local crime gang and a major Mob syndicate. Helping him piece things together is his father-in-law, Sheriff Hank Larsson. The investigation will lead them to a colorful cast of characters that includes Karl Weathers, the town lawyer of Luverne, Minnesota. A Korean War vet, Karl is a flowery drunk blessed with the gift of gab and the eloquence of a true con artist. Joe Bulo, the front man for the northern expansion of a Kansas City crime syndicate. The new face of corporate crime, Joe's bringing a Walmart mentality to small town America. His number two is Mike Milligan. Part enforcer, part detective, Mike is always smiling - but the joke is usually on you. Bulo and his crew have their sights set on the Gerhardt crime family in Fargo, currently led by ...","Crime ,Drama ,Thriller",TV-MA
Servant,A Philadelphia couple is in mourning after an unspeakable tragedy creates a rift in their marriage and opens the door for a mysterious force to enter their home.,"Drama ,Horror ,Mystery ,Thriller",TV-MA
Star Trek: Discovery,"Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.","Action ,Adventure ,Drama ,Sci-Fi",TV-14
The Good Doctor,"Shaun Murphy, a young surgeon with autism and savant syndrome, relocates from a quiet country life to join a prestigious hospital surgical unit. Alone in the world and unable to personally connect with those around him, Shaun uses his extraordinary medical gifts to save lives and challenge the skepticism of his colleagues.",Drama,TV-14
Better Call Saul,"Before Saul Goodman, he was Jimmy McGill. And if you're calling Jimmy, you're in real trouble. The prequel to ""Breaking Bad"" follows small-time attorney Jimmy McGill as he transforms into Walter White's morally challenged lawyer, Saul Goodman.","Crime ,Drama",TV-MA
9-1-1,"Explores the high-pressure experiences of police, paramedics and firefighters who are thrust into the most frightening, shocking and heart-stopping situations. They must try to balance saving people with solving problems in their own lives.","Action ,Drama ,Thriller",TV-14
Search Party,"Dory (Alia Shawkat), Portia (Meredith Hagner), Elliott (John Early) and Drew (John Reynolds) must deal with the disastrous consequences of successfully tracking down missing classmate Chantal (Clare McNulty) in season two of TBS' dark comedy Search Party, returning Sunday, November 19. As the friends' paranoia grows, their relationships fray, and it becomes increasingly difficult to trust that no one will discover the group's secret. These privileged, self-absorbed 20-somethings are in danger.","Comedy ,Crime ,Drama ,Mystery ,Romance ,Thriller",TV-MA
Chilling Adventures of Sabrina,"Reimagines the origin and adventures of Sabrina: the Teenage Witch as a dark coming-of-age story that traffics in horror, the occult and, of course, witchcraft. Tonally in the vein of Rosemary's Baby and The Exorcist, this adaptation finds Sabrina Spellman wrestling to reconcile her dual nature - half-witch, half-mortal - while standing against the evil forces that threaten her, her family and the daylight world humans inhabit.","Drama ,Fantasy ,Horror ,Mystery ,Thriller",TV-14
Disenchantment,"Princess Tiabeanie, 'Bean', is about to be married to Prince Merkimer. It is an arranged marriage and Bean isn't too happy about it. She is fun loving and free spirited and marriage is the last thing she wants to preoccupy herself with. Then she meets Luci, a demon, and Elfo, an elf, and things get rather exciting, and dangerous.","Animation ,Action ,Adventure ,Comedy ,Fantasy",TV-14
Suits,"While running from a drug deal gone bad, brilliant young college dropout Mike Ross slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law-school grads, Harvey takes a gamble by hiring Mike on the spot after recognizing his raw talent and photographic memory. Mike and Harvey are a winning team. Although Mike is a genius, he still has a lot to learn about law; and while Harvey might seem like an emotionless, cold-blooded shark, Mike's sympathy and concern for their cases and clients will help remind Harvey why he went into law in the first place. Mike's other allies in the office include the firm's best paralegal Rachel and Harvey's no-nonsense assistant Donna. Proving to be an irrepressible duo and invaluable to the practice, Mike and Harvey must keep their secret from everyone including managing partner Jessica and Harvey's archnemesis Louis, who seems intent on making Mike's life as difficult as possible.","Comedy ,Drama",TV-14
Community,"A former lawyer attends a community college when it is discovered he faked his Bachelor's degree. In an attempt to get with a student in his Spanish class, he forms a Spanish study group. To his surprise, more people attend the study group and the group of misfits form an unlikely community.",Comedy,TV-14
Ozark,"The Byrdes and their teenage kids, Charlotte and Jonah, are, for all intents and purposes, an ordinary family with ordinary lives. Except for the job of Marty, a Chicago financial advisor who also serves as the top money launderer for the second largest drug cartel in Mexico. When things go awry, Marty must uproot his family from the skyscrapers of Chicago and relocate to the lazy lake region of the Missouri Ozarks.","Crime ,Drama ,Thriller",TV-MA
Ted Lasso,Follows US American Football coach Ted Lasso heading to the UK to manage a struggling London football team in the top flight of English football.,"Comedy ,Drama ,Sport",TV-MA
New Girl,"Jess, a bubbly, off-beat teacher, who is known to burst into song, catches her boyfriend with another woman. Newly homeless, she moves into a loft with three single guys she's never met before. Nick, a jaded, law-school dropout isn't the best of company. Schmidt is a flashy, eccentric businessman who believes he is Yahweh's gift to women. Winston is a former athlete who doesn't know what to do, but really needs a win. Can this dysfunctional group handle the adorkable new girl?",Comedy,TV-14
The Rookie,"The series follows John Nolan, a 40-year-old man who moves from his comfortable, small-town life to Los Angeles to pursue his dream of being a police officer for the Los Angeles Police Department. He must navigate the dangerous, humorous, and unpredictable world of a ""young"" cop, determined to make his second shot at life count.","Comedy ,Crime ,Drama",TV-14
The Witcher,"The Witcher is an American fantasy drama web television series created by Lauren Schmidt Hissrich for Netflix. It is based on the book series of the same name by Polish writer Andrzej Sapkowski. The Witcher follows the story of Geralt of Rivia, a solitary monster hunter, who struggles to find his place in a world where people often prove more wicked than monsters and beasts. But when destiny hurtles him toward a powerful sorceress, and a young princess with a special gift, the three must learn to navigate independently the increasingly volatile Continent.","Action ,Adventure ,Fantasy ,Mystery",TV-MA
The Flight Attendant,"Flight attendant Cassandra Bowden wakes in her hotel room in Bangkok, hungover from the night before and with a dead body lying next to her. Afraid to call the police, she continues her morning as if nothing happened, joining the other flight attendants and pilots traveling to the airport. In New York, she is met by FBI agents who question her about her recent layover in Bangkok. Still unable to piece the night together, she begins to wonder if she could be the killer.","Comedy ,Drama ,Mystery ,Thriller",TV-MA
The Magicians,"After being recruited to a secretive academy, a group of students discover that the magic they read about as children is very real and more dangerous than they ever imagined. But will getting hooked on the thrill of magic distract them from honing their powers when they need them most?","Drama ,Fantasy ,Mystery",TV-14
Death in Paradise,"Scotland Yard DI Richard Poole is sent to the Caribbean island of Sainte Marie to solve a fellow policeman's murder. Having done so, he finds himself seconded to the local police force as the dead man's replacement. Poole proves to be a brilliant detective, solving several complex murders. He's not quite suited to either the pace of life on the island or the heat and sand, neither of which he likes very much. He also doesn't like seafood. That aside, the place is just great. In later series another British DI heads the investigative team, followed by an Irish DI and later again another British DI.","Comedy ,Crime ,Drama ,Mystery ,Thriller",TV-PG
The 100,"The series is set 97 years after a devastating nuclear war wiped out almost all life on Earth. The only known survivors are the residents of twelve space stations in Earth's orbit prior to the war. The space stations banded together to form a single massive station named ""The Ark"", wenis galore about 2,400 people live. Resources are scarce and all crimes no matter their nature or severity are punishable by death (""floating"") unless the perpetrator is under 18 years of age. After the Ark's life support systems are found to be critically failing, one hundred juvenile prisoners are declared ""expendable"" and sent to the surface in a last ditch attempt to determine if Earth is habitable again. The teens arrive on a beautiful planet they have only seen from space. Confronting the dangers of this rugged new world, they struggle to form a tentative community. However they discover that not all humanity was wiped out. There are people on Earth who survived the war, called ""grounders"" by the ...","Drama ,Mystery ,Sci-Fi",TV-14
Virgin River,"Centers around Melinda Monroe, who answers an ad to work as a nurse practitioner in the remote California town of Virgin River and soon discovers that small-town living isn't quite as simple as she expected and that she must learn to heal herself before she can truly make Virgin River her home.","Drama ,Romance",TV-14
American Horror Story,"Physical and psychological horrors affect a decomposing family, workers and residents of an insane asylum, a coven of witches, a cast of circus freaks, the employees and guests at a struggling hotel, a family who moved into a mysterious farmhouse, the members of a small suburb in Michigan, the surviving members of the Apocalypse and the counselors of a creepy summer camp in this haunting anthology series, focusing on the themes of infidelity, sanity, oppression, discrimination, addiction and exploitation.","Drama ,Horror ,Thriller",TV-MA
9-1-1: Lone Star,"A New York firefighter relocates to Austin, Texas with his son, where he works to save people's lives while trying to solve his own personal problems.","Action ,Drama ,Thriller",TV-14
Lost,"The past, present, and future lives of surviving Oceanic Flight 815 passengers are dramatically intertwined as a fight for survival ensues in a quest for answers after crashlanding on a mysterious island. Each discovery prompts yet more secrets, as the hastily-formed colony search for a way off the island, or is this their home?","Adventure ,Drama ,Fantasy ,Mystery ,Sci-Fi ,Thriller",TV-14
How I Met Your Mother,"Ted Mosby sits down with his kids, to tell them the story of how he met their mother. The story is told through memories of his friends Marshall, Lily, Robin, and Barney Stinson. All legendary 9 seasons lead up to the moment of Ted's final encounter with ""the one.""","Comedy ,Romance",TV-14
Westworld,"This science fiction western series from Jonathan Nolan and Lisa Joy was inspired by Michael Crichton's Westworld (1973) and is set at a Wild West theme park created by Dr. Robert Ford (Sir Anthony Hopkins) with human-like androids, where guests are encouraged to indulge their fantasies and desires.","Drama ,Mystery ,Sci-Fi",TV-MA
How to Get Away with Murder,"A sexy, suspense-driven legal thriller about a group of ambitious law students and their brilliant, mysterious criminal defense professor. They become entangled in a murder plot that will shake the entire university and change the course of their lives.","Crime ,Drama ,Mystery ,Thriller",TV-14
Modern Family,"Told from the perspective of an unseen documentary filmmaker, the series offers an honest, often-hilarious perspective of family life. Parents Phil and Claire yearn for an honest, open relationship with their three kids, but a daughter who is trying to grow up too fast, another who is too smart for her own good, and a rambunctious young son make it challenging. Claire's dad Jay and his Latina wife Gloria are raising two sons together, but people sometimes believe Jay to be Gloria's father. Jay's gay son Mitchell and his partner Cameron have adopted a little Asian girl, completing one big -- straight, gay, multicultural, traditional -- happy family.","Comedy ,Drama ,Romance",TV-PG
The Handmaid's Tale,"A religion-based autocracy has taken over most of the United States, renaming the country Gilead. In this country women are second-class citizens. Anyone trying to escape is punished. One such person is June, who is captured while trying to escape with her husband and child and is sentenced to be a handmaid, bearing children for childless government officials. As a handmaid, June is renamed Offred. This is her story.","Drama ,Sci-Fi ,Thriller",TV-MA
Winx Club,"In a magical universe, witches, warriors begin fighting in the name of good vs. evil. A group of five teenaged girls where choosen to defend the universe with their magical powers. They're smart, They're stylish and they are magical fairies, They are the Winx Club. The Winx Club must defend their universe from having it be turned into darkness and terror by the Senior Witches. The magic is in you on the Winx Club.","Animation ,Action ,Adventure ,Comedy ,Family ,Fantasy ,Thriller",TV-Y7
The Wire,"Set in Baltimore, this show centers around the city's inner-city drug scene. It starts as mid-level drug dealer, D'Angelo Barksdale beats a murder rap. After a conversation with a judge, Det. James McNulty has been assigned to lead a joint homicide and narcotics team, in order to bring down drug kingpin Avon Barksdale. Avon Barksdale, accompanied by his right-hand man Stringer Bell, enforcer Wee-Bey and many lieutenants (including his own nephew, D'Angelo Barksdale), has to deal with law enforcement, informants in his own camp, and competition with a local rival, Omar, who's been robbing Barksdale's dealers and reselling the drugs. The supervisor of the investigation, Lt. Cedric Daniels, has to deal with his own problems, such as a corrupt bureaucracy, some of his detectives beating suspects, hard-headed but determined Det. McNulty, and a blackmailing deputy. The show depicts the lives of every part of the drug ""food chain"", from junkies to dealers, and from cops to politicians.","Crime ,Drama ,Thriller",TV-MA
Sons of Anarchy,"Sons of Anarchy, aka SAMCRO, is a motorcycle club that operates both illegal and legal businesses in the small town of Charming. They combine gun-running and a garage, plus involvement in porn film. Clay, the president, likes it old school and violent; while Jax, his stepson and the club's VP, has thoughts about changing the way things are, based on his dead father's journal. Their conflict has effects on both the club and their personal relationships.","Crime ,Drama ,Thriller",TV-MA
The Vampire Diaries,"After centuries of quarreling, Stefan and Damon Salvatore return to their original town of Mystic Fall Virginia. Stefan, the selfless, brave, guilt ridden brothers meets a high school girl named Elena Gilbert who he instantly falls in love with. While Damon the gorgeous, dangerous, and selfish vampire is after his brothers girl to pay him back for making him turn into a vampire in 1864.","Drama ,Fantasy ,Horror ,Mystery ,Romance ,Thriller",TV-14
Batwoman,"Kate Kane, armed with a passion for social justice and a flair for speaking her mind, soars onto the streets of Gotham as Batwoman, an out lesbian and highly trained street fighter primed to snuff out the failing city's criminal resurgence. But don't call her a hero yet. In a city desperate for a savior, Kate must overcome her own demons before embracing the call to be Gotham's symbol of hope.","Action ,Adventure ,Crime ,Drama ,Sci-Fi",TV-14
Bonding,A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.,"Comedy ,Drama",TV-MA
Designated Survivor,"Kiefer Sutherland stars as Tom Kirkman, a lower-level cabinet member who is suddenly appointed President of the United States after a catastrophic attack on the US Capitol during the State of the Union, on the highly anticipated series Designated Survivor. In this dramatic thriller, Kirkman will struggle to keep the country and his own family from falling apart, while navigating the highly-volatile political arena and while leading the search to find who is responsible for the attack.","Action ,Drama ,Mystery ,Thriller",TV-14
Star Wars: The Clone Wars,"Chronicling the events that took place between Star Wars: Episode II - Attack of the Clones (2002) and Star Wars: Episode III - Revenge of the Sith (2005), this show follows the wartime days of Anakin Skywalker (Matt Lanter), Obi-wan Kenobi (James Arnold Taylor), and Yoda (Tom Kane). This show also brings new characters to the forefront of Star Wars canon, including Anakin's apprentice Ahsoka Tano (Ashley Eckstein), and Captain Rex (Dee Bradley Baker).","Animation ,Action ,Adventure ,Drama ,Fantasy ,Sci-Fi",TV-PG
Dexter,"Dexter Morgan, Miami Metro Police Department blood spatter analyst, has a double life. When he's not helping the Homicide division solving murders, he spends his time hunting and killing bad guys that slip through the justice system. He spends his sun-drenched days solving crimes - and moonlit nights committing them. But not to worry, our Dexter doesn't kill just anyone. He reserves his homicidal hobbies to taking only the lives of other killers.","Crime ,Drama ,Mystery ,Thriller",TV-MA
Homeland,"The winner of 6 Emmy Awards including Outstanding Drama Series, Homeland is an edge-of-your-seat sensation. Marine Sergeant Nicholas Brody is both a decorated hero and a serious threat. CIA officer Carrie Mathison is tops in her field despite being bipolar. The delicate dance these two complex characters perform, built on lies, suspicion, and desire, is at the heart of this gripping, emotional thriller in which nothing short of the fate of our nation is at stake.","Crime ,Drama ,Mystery ,Thriller",TV-MA
His Dark Materials,"His Dark Materials is one of the supreme works of imaginative fiction for both children and adults published in the 20th century. Northern Lights introduces Lyra, an orphan, who lives in a parallel universe in which science, theology and magic are entwined. Lyra's search for a kidnapped friend uncovers a sinister plot involving stolen children, and turns into a quest to understand a mysterious phenomenon called Dust. In The Subtle Knife she is joined on her journey by Will, a boy who possesses a knife that can cut windows between worlds. As Lyra learns the truth about her parents and her prophesied destiny, the two young people are caught up in a war against celestial powers that ranges across many worlds and leads to a thrilling conclusion in The Amber Spyglass.","Adventure ,Drama ,Family ,Fantasy",TV-14
Legacies,"Continuing the tradition of The Vampire Diaries and The Originals, the story of the next generation of supernatural beings at The Salvatore School for the Young and Gifted. Klaus Mikaelson's daughter, 17-year-old Hope Mikaelson; Alaric Saltzman's twins, Lizzie and Josie Saltzman; and other young adults come of age in the most unconventional way possible, nurtured to be their best selves...in spite of their worst impulses","Adventure ,Drama ,Fantasy ,Horror ,Mystery",TV-14
