,This is the best documentary Ad for a jacket i've ever watched! GG to the climbers and sherpas!
Jack Hewitt,The soundtrack alone was gorgeous. The documentary was extraordinary. Thank you brave men and women. I'm glad you succeeded without injury.
F F,So he trusts the people implicitly but not explicitly? I find that reeeally strange.
Israel Sarabia,Lets give a big Shout-Out to Sherpas that made things more comfortable to accomplish this expedition!!!!! They deserver the same credits as everyone else!
RK831,Good that the summit is not as polluted as Everest's.
K1ng Ar2ur,2 dorrar tip💵?  Ffs that's some stingy shizz right there
Артём анов,I’m watching this while eating a family size of Doritos and wearing pajamas I’ve been wearing for three days now
Ritesh Lyndell Beepot,This Documentary needs an award. The visuals are outstanding!
Dave Harris,Why am I smiling and crying when they reached the summit.. damn that was beautiful
much love,This guy Pemba is in every mountain climbing documentary I've ever seen.
Justin Covert,"Supernatural; superhuman strength , mans, women’s will , brings a tear to my eyes . Beautiful place!"
Shayne Sim,I swear I will not ever congratulate myself for climbing out of bed on a cold winter morning to drive to work again.
Cliff Prowell,"Well.... I was feeling pretty good about WALKING 10 miles yesterday... Not to brag, but also without supplemental oxygen"
Tea Aung,And that one polish guy had the audacity to ski down descend
Thomas Franz,I would hate to do that climb at night
Cesar War,At that altitude without oxygen and Carla's voice sounds like a super human. Incredible! Congrats!
F F,"You need the experience, you need the experience... you just need to be fu*king crazy lol"
Sikkimese,I dislike how the climbing community doesn't give the sherpas the true credit and respect that they deserve. pretentious bunch
shazlfc ronaldo,Pakistan is a beautiful country full off everything with amazing scenery !!! And god bless you guys good job very brave !!
Happy Trigger,"Modern peak crack: Needed the whole support team to push me.
Reinhold Messner: Needed to push my sole supporter."
Ethan Woods,My parents when I complain about my walk to school also respect these camera men
Umer Mushtaq,I also has a plan of summit K2 one day InshAllah !
doremidoredo doremifasol,"Pay the porters, don’t take advantage of them through economic exploitation and depravity"
Jonathan Magana,Her talking about close to death is me talking about acid😂😂😂
Juan Sebas C,Very proud of Carla in Ecuador !!. Is a shame that few people here know this achievement
Matej Juhás,"""Mountains are not fair or unfair, they are just dangerous."" Reinhold Messner"
Holy Unknown,Congratulation to Napali climbers and all Sherpas !
Kimberly Oropesa,"I can't even stand on the refrigerator doors on the supermarket while finding some hashbrowns for 1 minute. Dude, salute! hahah"
Tyler Hagan,"I'm taking my small company team-mates on the next doable AlpenGlow expedition...the ending of this documentary just sealed the deal for me!  Congrats to AB, Carla, and Topo for inspiring me to pursue climbing more and leave my normal routines of sports, swimming, and being a nerd.  Yay!"
Mary Golfer,I have to check my oxygen level with pulse oximeter while hearing his breathing. This woman is extraordinary.
Jawad Ahmad,"Just love this documentary , As its hard to summit k2 but its my dream  to reach at base camp."
Pacino972,"Seems like the hardest part of the climb, was paying the Sherpas.."
Muhammad Shoaib,"You become a mountaineer to the world when you summit Everest but you become mountaineer in the eyes of mountaineers when you climb K2. 
By the way, Nepalese Sherma group made history few days ago by summiting K2 in winter."
Rj Chavers,I'm so happy for all of them. Thank you for posting this and thank you Eddie Bauer for sponsorship of their expedition.
Jonathan Mendoza,"Climbing K-2 is actually ""Survival of the Fittest""... Not all become victorious."
shaunsprogress,Honestly I've read every expedition someone nearly dies of food poisoning. I would literally cook and clean everything myself.
Gauthinours,"I think Eddie Bauer and his team forgot to say something, so I will say it on their behalf: ""Thank you Nirmal Purja and your team for breaking the trail and setting the fixed ropes! No Nims, no Eddie Bauer summit..."""
Edward Bright,"When you can't breath, it's time to not go there. If oxygen don't want to be there,neither do I...🤠👍"
It was Flavor-aid,"Before seeing him,i knew who that voice belonged to in the opening.  Adrian has such a unique ,calming voice."
Vm Abijeet,"40:02 This moment is so special because only a few in the entire human race has been able to achieve what this guys have just done. He sports a drop of tear on tje top of the hardest mountain in planet earth, trying to come to terms with the vastness of life and the mountain beneath his shoes. 😊"
IK Khan,"❤️🇵🇰🇩🇪❤️ I am a Pakistani which I am proud of. But I am living in Germany for 20 years. And I am from the same area of K2, Terch Meer, Nanga Parbat and etc. And I want to say please keep visiting Pakistan Northern areas. But please try to keep over mountains clean. I want to say you are great 👍🏻 people. God bless you 🙏🏼 and save you always 😇😇😇😇😇😇😇"
Angie C,"Porter are just trying to make a living man, risking their lives for your adventuring. I can't imagine not tipping them well."
Sky Samson,I barely want to get out of my bed every morning
Cali Loyalty,Wearing my jacket in bed just watching this.
Prima Primavera,"Храбрые, сильные люди! Молодцы! Love from Russia! Thank you for this inspiration ❤️"
Mahdi Mansur,And the most amazing thing is that the Narrator at the beginning of this documentary has climbed all 14 of the over 8000m mountains without supplementary oxygen
Casey and Breelyn,"Are you serious, a $2 tip?!! Even $10-$15 is too low! I was thinking more like a $100 tip!! They literally do EVERYTHING for you. That's so sad, the porters deserve better!!"
Paul Liddle,Pemba! That dude is a hero and a living legend!
aboutface102,"I can't imagine climbing all the way to Camp 4, just to go all the way back down to basecamp again, then have to do it all over. Mental toughness right there."
MICRO-REPAIRS LTD,Looking out of a window of a tall building is high enough for me🤣
Edwon Rodrigues,"The nice thing about K2 is that unlike Everest, it scares away all the casuals, thus preserving its prestige."
Nomi,"Love from the land of K2, Pakistan 🇵🇰❤️"
Eugenio Rivademar,"Absolutely breathtaking documental.  
Ever seen.   The bottle neck pass is scaringggg !!  Actually, all the ""beast"" is scaring.  Congrats to all the team that made summit.  And most of all to the cameras.  People that we don´t see but they made this film possible.  Shapooo guys !!"
Daniel Murphy,those faces look like they've been chiseled by the wind
James Price,"im sitting here crying, n i didnt summit, so glad u made it!"
jabir abbas,K2 means NEVER again DEAD OR ALIVE
Mir Shabir,"It's emotional coming back from top of mountain. I just love mountains, they're calm and peaceful"
Why oh Why,It’s crazy that they are so high up that you see the atmosphere disappearing into the blackness of space
Rey Hang,I wonder how many attempts ended tragically that Eddie Bauer isn't showing.
Jeff Ward,Seems like even getting out of base camp would be a significant challenge with the bad weather coming on. I'd love to know more about what happened after the summit.
"On My Lunch Break, Sorry","""Guys, I know we're dying of oxygen deprivation but we need to pose for a couple more product placement shots. After that, we're on to the summit."""
Jungey Khanal,Bro now nepali sherpas conquer this mountain just check google
Muhammed Shahzaib,"Best wishes for Tamara Lunger, Trying to Ascend on K2 ""THE KILLER MOUNTAIN"" in winter without oxygen. Huge Respect From Pakistan 🇵🇰"
Rick J,"Without the Sherpas, there would be no climb."
FrankStar 830,My great grandparents said they would have to climb up here just to lick the salt deposits...
Ralen Codlin,Amazing of these group of climbers. Your team puts you in a moment that you will never regret it.  What a journey!
Paddywiggle,Out of every 4 people that summit... 1 person dies... wait a minute... they have 5 people in their group 😳
Robert Pilkington,What an amazing achievement...I'm in awe of Adrian and Carla and all the Sherpas...
Nick Heebsh,Couldn't have gotten anyone better to narrate - literally the man who wrote the book
Steve B,Everest is like driving to the mall.  They dragged Sandy Pittman and her purse to the summitt.
aroundandround,My extremities would freeze at these extremes.
benjamin white,It’s weird how dark the sky is up there
Sajida Nadeem,"Absolutely excellent, congratulations to all on such an amazing achievement. You are all so motivational in this epic journey. Well done!👍🏽👍🏽🎉👏🏽👏🏽"
Jorge Reynal,"I couldn't stop weeping. Incredible story!! Very well told. Very well directed. Superb editing. Great score. And above all, amazing characters who succeeded against all odds. The true human spirit untouched."
Meer Sahab,"It's hard to climb K2 , i salute you all of you."
D Eiloart,Has anyone seen Everest beyond the limit because Adrian was in that. And that was amazing I can’t put it any other way
zaki rajput,Im from Pakistan and if the day is clear I can see the peak from my home.
Mo Khan,I could remember I went to Pakistan from Uk I met 4 very lovely people in the aeroplane I was just chatting to them they told me they was going pakistan to climb K2 when I came back after 2 week from Pakistan I saw the same people on news that they have died while climb K2 which shocked me
Toby Vive MTB,It's just the light coming to me... I'd know how to get to her ❤️
Dhruvraj Rathod,Literally I've got goosebumps for 2 min. And my eyes got wet ....even though I'm at my home...😔😔
_georgee_,This make you really think about how ambitious humans can be... thrusting your own instincts and limits.. it’s just amazing
Alessandro Firmani,How and why tf wouls someone not like this? Is really inspirational ❤️👍
Swapnil Salve,The snow was so bright that i had to wear sunglasses while watching this video.
31 fishon,"Wow @8:09 ""in these trips, most of the time you are close to death... so you want to enjoy more of your life."" 

never realised how close to heart this is as someone who climbs till she said it. word man"
Marc Gaines,I'm glad he managed to hold onto the Raccoon.
Richard Inman,The mountain gods were smiling guys. Well done.
Biko Ös,"i just wanna climb here. i am preparing myself for this. K2, we will meet."
T BZ,"12:41 The more you pay, the less you carry."
C yzl,"Whenever I see these videos, I think of another video that documents the locals risk their lives to clean up the huge amount of garbage left behind by these climbers."
shahid nadeem,"Excellent 👍👌🆗...


Supermade humans....no doubt...."
Proud Pakistani,"One of the best expedition, I really appreciate your hard work, Team coordination. K2 is really a deadliest savage mountain on earth.
Love from Pakistan 🇵🇰"
thatsdisgusting,Well done! I  didn't realize this is an ad until they reached the summit
Bhushan Salgar,"Chosen are the ones who live their dreams..Hats Off.. one doesn't conquer a mountain, the mountain embraces whoever it choses... Congratulations..."
Azam Tariq,My life for Mountains💥
Timo Steve,Holy shit this woman Carla is one hell of a badass!!
hania khan,This one here is the most beautiful and perfect summit of K2 for me.
Joeseph Yunna,"The accidental mascara multivariately jog because floor transmurally last between a wiry america. ludicrous, joyous eye"
articuno03,Imagine there was a big slide at the top to take them down
Troy Johnston,"So how did you prepare for this massive undertaking? ""Well, uhh, we hoped for good weather."""
Wally McGuire,This is absolutely incredible. I long to be there while knowing it will never be. Such an incredible accomplishment.
I miss 2019,I wish I can do something like this.... I don’t have the means nor the energy.
Stocks and Coins,"""I will only stop when the mountain tells me so..""
Arrives at base camp seeing a huge avalanche
""Alright, let's go!"""
Dani,Next season on The Grand Tour: Can we get to the summit of K2 in a heavily modified Toyota Hi-Lux ??
Rowan,"when he got sick this got too real. Every single backpacking trip I  go on (none are as intense) I get terrible anxiety, worse than i deal with on my day to day. So, the anxiety makes me sick, and when you add that with beans going bad and half the group coming down sick, It's not good. Definitley relate to being sick while in the backcountry"
Paul Kane,Best documentary I ever seen on YouTube!  What a great watch and  incredible group.  It seems you all will have a life long bond after this incredible journey together.  Much thanks for posting
Lance Henry,Omg crying tears of joy for you❤️ such mind over impossible things...incredible climb almost into space.! Thanks for bringing us along...niceX 1000
Cucu Ca,"All those 4 legged beings deserve recognition  as well, carrying on their back all the heavy with their delicate ankles in such hard unforgiving surface! Praise to them as well!"
Dhananjay Singh,I'm a simple man.  I love the mountains view from the foothills only.  Save money and save life.
Limish John Mathew,"One day, If God allows one day I will summit K2."
Ronaldo Oliveira,"I'm here after the ending of Kokou no Hito, lmao"
Peter Wu,"The real question is....  ""who took up all the ropes?"""
Eddie Gooden,This guy is such a legend.
Ali Rizvi,a 46 min proof of concept ad or a jacket 👏👏
Luis Romero,RIP SERGI MINGOTE.. 🙏🙏
Thuy Ly,"Lots of love 💕 to the Sherpas.  They deserve the best. Good luck to you all. I wish you a long life with good health . Thank you 🙏 so much for the video. Please could you do more documentaries about the life of the Sherpas and the mountaineers, this is so interesting. Best documentary for Covid time too 🌹🌹🌹"
s r,The Sherpas are the true stars of this...
James Sherrow,I wonder if you could skydive to the summit.
Docfpv,All I can say is WOW! I Thank you for sharing this with the world 🌎 ✌🏴󠁧󠁢󠁳󠁣󠁴󠁿🙏🙏🙏
erp na,Respect for highly dedicated and honest team players -- Sherpas
Muhammad Ali Shahrukh,Best documentary so far on K2 climb. The savage mountain seems to be the ultimate challenge. Its in a very beautiful part of Pakistan up north in Gilgit areas.
martin sloan,I don't like hobbies where the goal is to stay alive.
cedric liggins,Much respect to your father. It shows how much he and his generation valued education. I commend your father for his perseverance and dedication. In ones pursuit of a higher education the will of the human spirit to succeed in spite of obstacles is an intangible aspect that has to be considered. Once again I salut your father Zak benmalek
lyndia cutler,"That was the best mountain climbing video i have ever seen thank you so much, and so happy you all made it down safely."
Sam Holder,"this is spectacular. 100 percent success on K2 after 95 percent of climbers abandon. 

Well done, team. Well done."
Scott Stokes,"You know what, I don’t care how awesome this might be, your suicidal"
P Jay,seeing this shows how big of an achievement Reinhold Messner achieved climbing ALL 14 8000m peaks without oxygen...
NickOnComputer,This was a somewhat interesting Eddie Bauer ad
Lustige Sache,Everytime i watch These documenteries i recognize how small i am over and over again
KCBkotastrophie -,Holy shit! YouTube algorithm actually Recommended Something I’m Extremely Interesting and Intrigued about. Wow 🤩
banmadabon,So Basically they pull their self up on ropes installed by Sherpa...
Jonathan Stewart,"Brings back memories. I was there in 2001, did the trek over Gondoro La, hiking along with K2 and Broad Peak and Gasherbrum climbers.  With as many climbers as 2019, I can imagine the porter situation was a shit show (literally and figuratively). But it's nothing new. Porter revolts are a yearly event, coming as no surprise to anyone. Smaller trips, like mine, bring in trustworthy porters from Skardu, pay them double, and don't worry about being left holding your bags. But you can't do that with a large expedition. But even when I was there two decades ago, K2 had already begun its inevitable march towards Everest-like commercialization. Not mentioned in this video is how all of those static lines are set in advance for our heroes to climb for the video."
A1MYT MCOC,As usual...the locals are exploited and never given credit!
Andrew Gackenbach,"Loved it, but would've appreciate a special acknowledgement or something for Nims, highly doubt there is a summit without him and his team."
Amir Shah,"Different between k2 & Everest!!! K2 has -60temp & Everest has max -40,, so weather is most dangerous to climb"
TheRabbitFear,They spend thousands of dollars getting there but don't want to tip their sherpas $10...
Moneca Savoie,This is the absolute last thing I would ever want to do :).
WhenDucksAttack,Great Film! I loved the brown pee hole on the summit at the end. Thats real mountaineering :P Awesome job guys!
Light Bulb Goes Off,"37:25  ""I'm afraid the wind might have frost bitten my cornea so I can't see out of one eye...Doesn't matter, it's awesome!""   That my friends is madness defined."
Hassan Shaukat,That's the beauty of Pakistan 🇵🇰 !
Naveed syed,Porters have huge balls to carry loads for days in the toughest terrain on earth
Johnny Dong,90% of recent comment spam: Give sherpas more respect
Thirsty Terror Tuna Taco,This small lady from Equador has GIRLPOWERRRRRRR  <3
koofdome,Meanwhile I get tired climbing stairs
Anthony Costa,I kinda wanna go buy a jacket right now
Kriwo,And then there is this guy who skied down that monster
MotorBikeTV,"One the best short films I have ever watched - absolutely incredible scenery, determination, and videography - thank you - thank you xx"
Colin Dalgard,"""I want to go until the mountain tells me I can't""
ignores every single warning hahaha"
Music With Character,"I’m speachless! I hope one day I will be able to climb K2. I’m not a professional mountaineer, but climbing K2 it’s my life dream!"
Marcus Akers,Kudos for not leaving a bunch of oxygen cans lying around. Good job.
Busy Riding,"People think it’s easy, it’s not. They’re so good they make it look like a piece of cake."
caos one,"We hikers like to say 'embrace the suck', but damn this is outright torture and madness. This level of dedication to a goal is really impressive."
HKN,A great documentary to watch in years.
Kisan B.k,Congralations dada haru jai nepal 🇳🇵🇳🇵🇳🇵🇳🇵
Space Dandy,I just read a manga called the climber and it was amazing. If you want to read a amazing journey to the top of k2 i recommend you start reading.
Nicolas Bardo,Damn.....I got sick at 12k feet....cannot fathom how hard it becomes at 20K or higher....ughhhhh can't breathe.
shangee tibodo,"dear eddie bauer , once again ONLY  the amazing sherpa work up high made this possible .  give them a suit and put them in the movie !!!   shameless..."
Aatif8,Big respect to the workers who take the climbers gear to basecamp on small salary.
andiaw,Just amazing! Great accomplishment!
jage,U R walking up the length of 8 New York Empire State Buildings. I'd rather sit here in my warm comfy chair drinking tea. Beautiful footage. Fantastic SHERPAS💞
M. D.,"As many mentioned, this push to the top would have been impossible without the help of Nirmal Purja and his team, who made the track in the thick snow before Adrian's team.

It still is an incredible accomplishment without ox', but it would have been fair to mention Nims effort and the fact that it wouldn't have been done without it."
The DreemChaser,Beyond an amazing feat! Definitely on my bucket list 🙏🏼
Tamara Tserennyam,"So cool , challenging  and adventurer , thank you , brave people , Carla is so precious"
Just a sec,Am just glad I had only to press 'play' and get to the summit in 45 mins.
Pankaj Banne,I see... So this is how the heaven looks like
Casey and Breelyn,"I'm still mad at how under appreciated Sherpas are. They literally do ALL the work and never get credit. These ""mountaineers"" that go and attempt these mountains stand on the back of all these sherpas. Sherpas make the camps, place rope, carry gear etc. all the regular climbers do is follow the ropes up...."
Juan Valencia,Soooo sick 😎🤩 much respect go Ecuador 🇪🇨
James Hoad,It was tough work to get up the stairs just to put my phone on charge so I I could watch this whole video in my bedroom! I'm glad I made it! Now I just have to make it back down safely n hopefully there might be a bacon sarnie waiting for me in the kitchen when I make it back to base camp! 🤣
Bishal Shakya,Kudos to all the one who reached summit and hats off to all who tried. The best expedition video Ive ever watched. Lots of love from NEPAL and best wishes for remaining expedition. HATS OFF SIR
Pulkit,"Ok, i wanted to climb K2 ,
but now that's off from my bucketlist 🏔️"
Lifecast Prime,"I made my first hiking video. It sucks, I know, but the journey of a thousand miles starts with the first step ;)  @ZD5U    More to come!"
Annoying Hacker,Mashallah beauty of 🇵🇰 Pakistan k2 mountain also rakaposhi mountain
Loop Hole,"i go until my inner person says ""wtf are u doing..!!!"" lol"
Michael Delaney,"Beautiful and inspirational, thank you for sharing this magical tale, truly amazing!"
Ronnie La,Why do I feel like I listened to this same story on another vid with him? Or have I been here twice?🤣
Alan Severn,"Blessed journey. Exceptional decision making, especially the final one, not to attempt K2 again. Enjoy life, stay safe. Friendship is everything."
Thordur Hognason,Jon Snorri  is now on his way des 2020 climbing k2
DA Lawman,This shows you how guys like Ed Viesters were so amazing. He did all 14 of the 8000m peaks without supplemental oxygen.
Bardya Amirparviz,18:52 (this is just to remember my time)
Biggy Boris,"3:24 i know he is wearing goggles but really, lmao (dude on the right)"
Rafael Sanchez,"Este verano, si las condiciones son buenas, intentaré el Tibidabo por la cara sur. Con dos cojones."
waqar waqar,I heard about you guys on news ....bravo i loved this video and your courage and bravery...imagininv whar it would have felt raaching out to k2 summit.....congrats
drail80s,"Wow< What a Story. So much heart, determination, steadfast."
Anna Mardo,So beautiful!! Thank you for sharing this experience!
Pablo Gonzalez,Bravo!
Nicolas Muller,"Oh I'm so happy !
I was crying with you in the end.
I felt that though I'd never made the ascent, I was there.
How very brave of you !"
Antonio Ferrer,"A K2 movie without someone dying?
Probably a first."
Max Zorin,"Ya...it's not cruel , it doesn't have a voice...etc....IT'S a fracking rock! WTF?"
Erik Iverson,"That was incredibly inspiring!
☝️♥️"
Kenan Morg,Good film about some incredibly determined people.  I thought the Baltoro Glacier was almost as impressive as the mountains themselves.  Beautiful scenery and some really great cinematography.  Thanks for this.
Michael Angelo,There’s this manga about a guy who really loves to climb solo and he even tackled k2 in exchange for his limbs due to frostbites. The manga is kokou no hito
Tariq Aziz Sofi,I get same feeling when I have to climb the stairs.
Shafiq1969,"Well done guys, an impressive video. K2 is truly majestic and a top destination for mountaineers in Pakistan."
Scout's Den,So many climbers go back and multiple years with no summits at all and your team make it up on a beautiful day. That is amazing luck as well as skill. Guess you need both on K2.
Totoro San,i finally know what Eddie Bauer is! So many times walked passed  by the store and didn't know they sold outerwear clothes...
Abhijit Chakraborty,"This is the life compared with the life spent on a mundane job at a desk, for some money and safety."
firsthippy,All the money spent on these climbs and people are short-changing porters?
Mark Bergemann,"Back in the 70’s Eddie Bauer was Thee name in Arctic outerwear. The Superior Polar Parka, the -30 sleeping bag. It seemed like they got away from that, became the more urban outfitter. It’s really nice to see they might be coming back. The gear looked like it did well."
Icrazieelliot Gamer,Hi what a just breath taking achievement cannot tell you how much respect I have for your  whole team brilliant watch as well thank you X
Tushar Taunk,"this is just mind-blowing... i can keep watching this for days, months and as long as i wish... phenomenal efforts and incredible journey... salutes to the entire team....."
⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻,Mountain is my attitude. i wont explain the sht now due to lack of time
kun072,"The real question is....  ""who took up all the ropes?"""
Barbara Kryvko,What an inspirational film. Thank you for sharing your journey with us.
m m,who wouldn't like this video....brave and the most determined people....cheers to them.
fLying_AnT,It was the hoddest thing I’ve ever done LULW
Sherry Eldridge,You are an angel of the mountain. ❤️❤️🙏🏽🙏🏽
Zahra Qaisar,You people made best decision to stay and continue your journey and it was fruitful...
Udit Gahlot,Big salute.  Huge respect
J P,very nice guys !!! Im proud of you.
PreferredGecko,"I go to College in Maine and got one of the eddy goose down jackets. Thing is mint, these people prolly felt like they were in Cali. Lol"
Pavel Semonov,What a vileness to argue over extra $10. You “risktakers” gonna leave hundreds in tips to servers in restaurant where you celebrate your accomplishment. Filthy!
Arshia Bucket,It's like I watch a movie and the end is super duper awesome 🥺😍
Legend 28,Congratulations on making history! Beautiful Beautiful!! Thank you Eddie Bauer.
JULIO MONASTERIO BACARIZO,"GRAN DOCUMENTAL SOBRE EL K2 , CON UNA MAGNIFICA FOTOGRAFIA."
airsoft ant,You keeping me warm right now
abdul rehman,I am from pakistan and i just did a base camp next to k2 can't even imagine to climb this scary mountain. These guys arr real heros. 💓 Much respect from pakistan
Awaken My River,"I've never been overcome with emotion at this before, but wow, this invoked tears.  The respect that this team has for that mountain and each other was returned with the gift of their experience. A beautiful thing."
peter gregory,"Top of the World Ma! Top of the World.
Remember reading years ago of Aleister Crowley's attempt on K2. About 1902 was it?
Imagine the sort of gear he and his friends would have had! They didn't make it of course.
Magnificent job guys. Well done."
Peter Lewis,"That was an amazing video, i could have watched it for ever."
Matt Ducey,"Best mountaineering (alpinist) doc/film I've seen. Brought me there, without all the work, haha! Well done, all!"
Travis Pertson,"Where there’s a will, there’s a way... ✨🏔✨"
Olivia Lambert,"""Climbing without supplemental oxygen"" means ""climbing with three porters who use oxygen""  in this case.
Meanwhile, legends like Hermann Buhl climbed Nanga Parbat solo without oxygen."
Adrien Pinard,"The impossible college aetiologically scorch because neon routinely collect onto a poised whorl. joyous, equable prepared"
NerdyNano,Truly inspiring 😊 thank you for such a wonderful story !!
Sam Grima,K2 pride of Pakistan 🇵🇰
Miyoung Jung,I am crying now after you mention about feeling on the top of K2 what I like . Thank you very much let me watching your journey.
Mads Jensen,Truly amazing climbing.. Watching this gave me goosebumps all over
Da dare king Is home,Who’s here after watching the guy ski down it
tass ono,"Namaste Palden Dai and Namgyal Dai, even though you got 0 credits from this documentary , we know you were the backbone behind this expedition. Om mane padme hum . Jai Nepal."
leratluci,Today I will reach the summit of my couch
oSo_KewL WIT_IT,"A true climber would have wore a tank top, daisy dukes and flip flops.  All bs aside.  I couldn’t do this.  Much respect."
Aamir Abbasi,A great documentary. Hats off to all of these courageous people.
Blue Daily Elephant Care Sanctuary,"So risk adventure, but very breathtaking trek."
Mir Shabir,"I'm curious of climbing k2, hope I get a chance in future...hooooo"
Ron George,To me the sherpas are Legends period .
Michael Noble,The blood on the summit shots :O
NotJoe Biden,Thanks for taking pictures...now i don't need to go..LOL
Kamal DHUNGANA,The most significant guides: the Sherpas from Nepal are almost for shaded from camera intentionally and not even mentioned at the end... Oh.. Big Bosses...
cs chaka,BREATHTAKING !!
Gary Kramer,"This was an amazing documentary. It was also an amazing feat to do this without oxygen. I’m just disappointed there was no mention of Nimsdai and his team being an integral part of the summit push. I remember seeing him post about clearing the way past the bottleneck. It absolutely would not have taken anything away from the amazing feat that the Eddie Bauer team accomplished. It just would’ve been a bit more honest to include appreciation for how they helped. Adrian even mentioned that on an Instagram post during the expedition. Still though, congrats on doing something so amazing and capturing it so well."
Ahsan Choudry,Just breathtaking!
N8FALKE1,"Try Kukuczka's ""Polish Line""."
blex,"i cant breathe
scnr"
Raymond Lopez,"Wow Congratulations to Adrian, Karla and Toopo."
The Dark Destroyer,"The true dreamers are the men and women who still remain on K2.
Indeed they were dreamers who lived for the moment and did not regret anything in life.
RIP.🙏."
Ninnie Holmgren,The man of my dreams. In every way 🤩
Jon Posadny,i wish i had the money just to get to base camp once in my life.
Andrew Dale,"This was really cool. Props to all involved. Love the quote at the end: ""Adrian and Carla do not have any plans to climb K2 again."""
nasdoc1,Amazing! You have to be a superhuman to climb the K2. Breathtaking scenes. What a video. Congratulations!
Travel With Strangers,"This is actual life time achievement for human beings, atleast for me it is. ."
Chance Tushir,Try Kailash next 😂
Carlo Carugati,Y O U are breathtaking
joe maxie,truly awesome achievement....athlete's of the highest caliber... congrats to all of you....a testament to the human spirit....pre happy anniversary....well done...and thank you for giving us mere mortals a glimpse of the beauty of the mountains....Namaste
Linda Manzione Young,"I was in tears because of you, Adrian and Carla, and your team's  success in reaching the summit. You all were SMART in putting safety above success. I was so happy to see the weather cooperating also. God was definitely with you on this trip. Thank you for sharing this beautiful video. ❤"
Joel Crow,What if I have trouble being in a Costco cooler for longer than 5 mins tops....
