,Title
131,Rebus
132,The Worst Witch
133,Dicte
134,The Story of Tracy Beaker
135,Sweet Valley High
136,Goosebumps
137,Eye Candy
138,Dirigenten
139,Nihon Chinbotsu 2020
140,Privileged
141,Maigret
142,Peyton Place
143,The Adventures of Robin Hood
144,Bäckström
145,Blood Ties
146,Qing yu nian
147,Worzel Gummidge
148,Gentle Ben
149,Lupin
150,The Invisible Man
151,Mystic
152,Hunters
153,War of the Worlds
154,Fartblinda
155,Mike Hammer
156,Sex Chronicles
157,Lang ya bang
158,Karen Sisco
159,Saiyûki
160,The Forsyte Saga
161,Planet of the Apes
162,Animorphs
163,Le juge est une femme
164,Gooreumi Geurin Dalbit
165,Les Norton
166,Rosamunde Pilcher
167,Christy
168,Baantjer
169,Prince Caspian and the Voyage of the Dawn Treader
170,The Lost World
171,Father Brown
172,Stay Close
173,Sugar Rush
174,True Women
175,The Fall and Rise of Reginald Perrin
176,Callan
177,Huckleberry Finn and His Friends
178,The Adventures of Black Beauty
179,The Banana Splits Adventure Hour
180,101 Dalmatian Street
181,Sanzoku no musume Rônya
182,The Invisible Man
183,Zbrodnia
184,The Mrs Bradley Mysteries
185,The Silver Chair
186,Topper
187,Pippi Långstrump
188,Fuyao
189,Ôkami to kôshinryô
190,Campion
191,Mirai shônen Konan
192,Whitstable Pearl
193,Purity
194,Wu dong qian kun
195,Crusoe
196,Emil i Lönneberga
197,Return of the Saint
198,Voyage of the Unicorn
199,The Rivals of Sherlock Holmes
200,Zhen Huan Zhuan
201,The Travels of Jaimie McPheeters
202,Apaches
203,Emily of New Moon
204,Redwall
205,Arupusu no shôjo Haiji
206,Nicolas Le Floch
207,Escrava Isaura
208,Hondo
209,Dou Po Cang Qiong
210,Der Kommissar und das Meer
211,The Wrong Girl
212,The Box of Delights
213,The Legend of Tarzan
214,The Tripods
215,Akage no An
216,12 kokuki
217,The Scarlet Pimpernel
218,The Round Tower
219,Taiyô no ko Esteban
220,Seikoku no Dragonar
221,Zero no tsukaima
222,Aspe
223,Nancy Drew
224,Monday Mornings
225,Irene Huss
226,Kanokon
227,Xi you ji
228,Five Children and It
229,A Fatal Inversion
230,Corazón salvaje
231,Sherlock Holmes
232,Enkelstöten
233,Feather Boy
234,Reggie Perrin
235,The Animals of Farthing Wood
236,A Bit of a Do
237,National Velvet
238,Iljimae
239,Isekai Cheat Magician
240,Honzuki no Gekokujou
241,Sungkyunkwan Scandal
242,Mitsubachi Mâya no bôken
243,Down to Earth
244,The Client
245,The Zack Files
246,Captain Future
247,Largo Winch
248,Zhi fou zhi fou ying shi lü fei hong shou
249,The World of Peter Rabbit and Friends
250,Jonny Briggs
251,Pinocchio
252,The Secret Garden
253,Den inre cirkeln
254,The Warriors
255,Tales from the Neverending Story
256,The Littles
257,Hawkeye and the Last of the Mohicans
258,La mentira
259,Suikoden
260,Gosick
261,Sureiyâzu
262,The Eternal Love
263,The Secret Diary of Adrian Mole Aged 13¾
264,Watership Down
265,Executive Suite
266,Takarajima
267,Clarissa
268,Shakugan no Shana
269,Broken Arrow
270,Janguru Bukku shônen Môguri
271,Return to the Planet of the Apes
272,Sense and Sensibility
273,Raffles
274,An Unsuitable Job for a Woman
275,Shen diao xia lu
276,The Lost Tomb
277,Scarlet Heart
278,Truckers
279,The Hardy Boys
280,Falcone
281,The Mallens
282,Super Gran
283,Chocky
284,The Swarm
285,Nestor Burma
286,Mga batang poz
287,La vuelta al mundo de Willy Fog
288,A Woman Called Moses
289,She diao ying xiong zhuan
290,Chiller
291,Alice in Wonderland
292,Love for Lydia
293,The Wizard of Oz
294,La vecina
295,Romio no aoi sora
296,The NeverEnding Story
297,Vanity Fair
298,Les enquêtes du commissaire Maigret
299,The Lost Tomb 2
300,The Phoenix and the Carpet
301,Mi yue zhuan
302,Den vita stenen
303,The Chisholms
304,Haha wo tazunete sanzenri
305,Lux Video Theatre
306,Toate pînzele sus
307,A Horseman Riding By
308,Ozu no mahôtsukai
309,Chillers
310,Lucy Sullivan Is Getting Married
311,White Fang
312,Ivanhoe
313,Madicken
314,The Little Vampire
315,Série rose
316,Chez Maupassant
317,The Ghost Hunter
318,Mystery and Imagination
319,Strawberry Panic
320,The Vampire Chronicles
321,Pride and Prejudice
322,Notes from the Underbelly
323,The Scarlet Pimpernel
324,The Adventures of Black Stallion
325,Nirusu no fushigi na tabi
326,Hyperion
327,The Nightmare Man
328,Meiken Jolie
329,Robert Montgomery Presents
330,Sunes jul
331,Hua qian gu
332,Utta Danella
333,Opowiadania Muminków
334,Ai no wakakusa monogatari
335,Zhen hun
336,Helen West
337,Maximum Bob
338,House of Night
339,Dorothy and the Wizard of Oz
340,JPod
341,Jake and the Kid
342,My Brother Jonathan
343,My Friend Flicka
344,Kapitán Exner
345,Maya the Bee
346,Sento Yosei Yukikaze
347,Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita
348,Sai yau gei
349,Kommissarie Winter
350,Velo misto
351,Family Album
352,Saraswatichandra
353,Fushigi no kuni no Arisu
354,Boney
355,La sonata del silencio
356,Off to See the Wizard
357,Clochemerle
358,Under the Mountain
359,Zhizn Klima Samgina
360,Cuckoo Song
361,The Return of the Borrowers
362,Take a Girl Like You
363,Ranjeni orao
364,Pompeii
365,Cribb
366,David Copperfield
367,Tomu Sôyâ no bôken
368,Hilda Lessways
369,Pelle Svanslös
370,Kapelski kresovi
371,Les aventures de Robinson Crusoë
372,Hong lou meng
373,Riacho Doce
374,The World of Wooster
375,Hedebyborna
376,A Certain Justice
377,Cranford
378,Pugwall
379,Penmarric
380,Buddenbrooks
381,Alla vi barn i Bullerbyn
382,Midnight Is a Place
383,Strangers and Brothers
384,The Phoenician Code
385,21st Century Demon Hunter
386,Série noire
387,Tai zi fei sheng zhi ji
388,Prosjaci i sinovi
389,Fortunata y Jacinta
390,Watashi no ashinaga ojisan
391,The Four Bad Boys and Me
392,The Dark Room
393,The Secret Agent
394,The Larkins
395,Tieta
396,Untouchable Lovers
397,Jauche und Levkojen
398,Sinhá Moça
399,Affairs of the Heart
400,The Machine Gunners
401,Madigan
402,Halfway Across the Galaxy and Turn Left
403,La Bruja
404,Alex Cross
405,Ie naki ko Remi
406,Nase malo misto
407,Red Mars
408,Patrik Pacard
409,Rittai anime ie naki ko Remi
410,The New Adventures of the Lone Ranger
411,Malice Aforethought
412,The Sophisticated Gents
413,Kommissarie Winter
414,Timm Thaler
415,All Passion Spent
416,Meng Qi Shi Shen
417,Ulitsy razbitykh fonarey
418,Lost Love in Times
419,Bognor
420,BBC2 Play of the Week
421,Sítio do Picapau Amarelo
422,The Count of Monte Cristo
423,A Little Princess
424,Cirkus Humberto
425,Eternal
426,The Moonstone
427,The Beggar Bride
428,La famille Plouffe
429,Uchouten Kazoku
430,The Black Arrow
431,Periinu monogatari
432,The Young Pioneers
433,Gabriela
434,La forja de un rebelde
435,The Legends of Treasure Island
436,The Mystic Nine
437,Buck Rogers
438,Tales of the Wizard of Oz
439,Lagardère
440,The Portrait of a Lady
441,Robinson Crusoé
442,Gormenghast
443,Maria sama ga miteru
444,Qing shen shen yu meng meng
445,Solromonui Wijeung
446,In the Red
447,Power Without Glory
448,The Strays
449,Nunca te olvidaré
450,The Lone Wolf
451,Tomtemaskinen
452,U registraturi
453,Sans Famille
454,Dracula
455,The Fear Index
456,Sôryûden
457,Jue dai shuang jiao
458,Demi Gods and Semi Devils
459,Winnetou le mescalero
460,The Tenant of Wildfell Hall
461,The Prince and the Pauper
462,Cañaveral de pasiones
463,Tracey McBean
464,Bob Morane
465,Alice in Wonderland
466,Belle et Sébastien
467,Merlin of the Crystal Cave
468,Nie zi
469,The Country Diary of an Edwardian Lady
470,The Adventures of the Little Prince
471,Nanà
472,Cabocla
473,Pikorîo no bôken
474,Hakushaku to yôsei
475,Arupusu monogatari watashi no annetto
476,The Jump
477,Madam Sousou
478,Lizzie Dripping
479,Monkey Magic
480,Agasa Kurisutî no meitantei Powaro to Mâpuru
481,The Franchise Affair
482,Privát kopó
483,Dawn
484,I Leave Work On Time
485,Chandrakanta
486,Confessional
487,Babyfather
488,Shinrei tantei Yakumo
489,Honô no mirâju
490,Ashes
491,De kleine waarheid
492,A Sucessora
493,Xiao ao jianghu
494,El Quijote de Miguel de Cervantes
495,Rational Creatures
496,Troppo
497,Belphégor
498,Willy Fog 2
499,Running Blind
500,Vammena kokkina mallia
501,Dona Beija
502,Water Under the Bridge
503,Killer Pizza
504,El vuelo del águila
505,Bartje
506,Saiyûki
507,Kill Creek
508,Grafinya de Monsoro
509,Aliens in the Family
510,Bakuretsu hunters
511,Anime san jushi
512,The Diamond Brothers
513,The Hardy Boys
514,Araiguma Rasukaru
515,The Atticus McLaren Mysteries
516,Brendon Chase
517,Gypsy Girl
518,The Green Archer
519,The Mixer
520,Serendipity monogatari pure to no nakamatachi
521,I anadyomeni
522,Master of Ceremonies
523,Don Quijote de la Mancha
524,Ciranda de Pedra
525,The Fifth Risk
526,Black Samurai
527,Deti Arbata
528,The Old Men at the Zoo
529,Makiba no shôjo Katori
530,In Europa
531,O Meu Pé de Laranja Lima
532,Screech Owls
533,Furandâsu no inu
534,Our Mutual Friend
535,The Battlers
536,The Adventures of Tom Sawyer
537,Matomena homata
538,Hilda Furacão
539,Les gens de Mogador
540,Riftwar
541,Minami no niji no rûshî
542,Sítio do Picapau Amarelo
543,Ons geluk
544,Journey of a Journalist
545,Max Glick
546,Mysteriet om det levende lig
547,Great Expectations
548,Lotta på Bråkmakargatan
549,Seikai no monshô
550,Desencuentro
551,Shui Dou Ke Wang Yu Jian Ni
552,Zoki Poki
553,Yi tian tu long ji
554,Wo shi te zhong bing
555,Queen Charlotte
556,Sam et Sally
557,Ein Mann will nach oben
558,Ayashiki bungô kaidan
559,Bob Morane
560,See How They Run
561,Einzug ins Paradies
562,Corazón salvaje
563,Underbelly
564,La storia
565,Da Mo Yao
566,The Consultant
567,Blackbirds
568,Gulliver in Lilliput
569,Warcross
570,Escape of the Artful Dodger
571,Gumman som blev liten som en tesked
572,David Copperfield
573,Wakakusa monogatari nan to Jô sensei
574,La baleine blanche
575,Growing Rich
576,Wakakusa monogatari yori wakakusa no yonshimai
577,Drei sind einer zuviel
578,Eyeless in Gaza
579,Jing hua yan yun
580,Stormskärs Maja
581,Les secrets de la mer rouge
582,Jane Eyre
583,The Girls of Slender Means
584,Haggard
585,Treasure Island
586,Finders Keepers
587,Marina
588,To trito stefani
589,La intrusa
590,Swami
591,Éramos Seis
592,Jim Knopf und Lukas der Lokomotivführer
593,A zori zdes tikhie
594,O Feijão e o Sonho
595,Vejo a Lua no Céu
596,Earthfasts
597,Guin sâga
598,Yoshitsune
599,Strawberry Night Saga
600,Jane Eyre
601,Paul et Virginie
602,I Can Jump Puddles
603,Le gorille
604,E o Vento Levou
605,Mog
606,Mumindalen
607,Håkan Bråkan
608,I aithousa tou thronou
609,O Tempo e o Vento
610,Håll huvet kallt
611,Hannah
612,The Legend of White Fang
613,Sturmzeit
614,Een mens van goede wil
615,O Morro dos Ventos Uivantes
616,A Moment in Time
617,Buddy
618,Pirx kalandjai
619,Root Into Europe
620,Tokyo Underworld
621,Yi ge nü ren de shi shi
622,Los miserables
623,Ai shôjo Porianna monogatari
624,Group Demotion
625,Quattro piccole donne
626,Bloody Jack
627,Atticus
628,Carrion Comfort
629,Georgette Heyer
630,Landed
631,Fera Ferida
632,Hollands glorie
633,Quentin Durward
634,Koroleva Margo
635,Telepasión española
636,Rebellion der Verlorenen
637,Sinhazinha Flô
638,Great Expectations
639,Geroy nashego vremeni
640,Arsène Lupin
641,La vie de Marianne
642,Qing qing he bian cao
643,La vie des autres
644,Volshebnik Izumrudnogo goroda
645,Kristine
646,Montey Greene
647,Zorro
648,Supûn obâsan
649,Por siempre mujercitas
650,Little Women
651,O Meu Pé de Laranja Lima
652,The Way We Live Now
653,Adventurers Born
654,La lune papa
655,As Minas de Prata
656,Urmel aus dem Eis
657,Alfonso Bonzo
658,La barraca
659,Julianus barát
660,Porto dos Milagres
661,Le chevalier de Pardaillan
662,Pangarap na bituin
663,Jim Knopf
664,Villervalle i Söderhavet
665,Never Come Back
666,Foxbusters
667,Cloud Howe
668,Seton Dôbutsuki Risu no bannâ
669,The Outsider
670,A Tale of Two Cities
671,Kojika monogatari
672,Eishob Dinratri
673,Souris noire
674,La María
675,Little Women
676,Sueurs froides
677,Sage Alexander
678,The Fall
679,Roadmarks
680,The Transcendents
681,Untitled Sexy Comedy
682,Brida
683,Neudacha Puaro
684,Khozhdenie po mukam
685,Haunted
686,Black Buck
687,Das Tanzbärenmärchen
688,Ai no gakko cuore monogatari
689,Tytania
690,Les compagnons de Jehu
691,Sanada Taiheiki
692,O thanatos tou Timotheou Konsta
693,Little Sir Nicholas
694,The Peppermint Pig
695,Bel Ami
696,Ik ben Willem
697,Sougen no chiisana tenshi busshu beibii
698,The Intruder
699,Shoukoushi Sedi
700,Sangue e Areia
701,O Homem Proibido
702,Tie Li Hua
703,De Bende van Sjako
704,Emil and the Detectives
705,As Pupilas do Senhor Reitor
706,Ídolos rotos
707,The Cabin in the Clearing
708,Corazón salvaje
709,For Whom the Bell Tolls
710,Heidi
711,Resurrección
712,Brothers in Law
713,These Broken Stars
714,The Lady of the Camellias
715,Deceit
716,Cumbres borrascosas
717,Hard Labeur
718,Suspect X
719,Chlopi
720,Katy
721,Andy Robson
722,Redgauntlet
723,Rosenbaum
724,Good Wives
725,Záhada hlavolamu
726,Welcome to Haiti
727,Kleiner König Kalle Wirsch
728,Xue Ke
729,I exafanisi tou John Avlakioti
730,Il giornalino di Gian Burrasca
731,Woodstock
732,Fantômette
733,Nans le berger
734,I daskala me ta hrysa matia
735,Terranova
736,Rocambole
737,Um Menino Muito Maluquinho
738,Les Mohicans de Paris
739,The Master of Ballantrae
740,Harry and the Wrinklies
741,Anne of Green Gables
742,Snake Gully with Dad and Dave
743,Kidnapped
744,John Macnab
745,Nemets
746,Uilenspiegel
747,Lord of Light
748,Panterra
749,Second Son
750,The Wrath and the Dawn
751,Ostrov pogibshikh korabley
752,Shinsengumi keppuhroku
753,Da ran fang
754,Au bon beurre
755,Jungleboek
756,Astrofengia
757,Rupert of Hentzau
758,To 13o kivotio
759,Sujibori
760,Abeltje
761,Xing Fu Lai Qiao Men
762,Exciting Times
763,Dona Flor e Seus 2 Maridos
764,Grey Granite
765,O Preço de um Homem
766,Qing cheng zhi lian
767,I agapi argise mia mera
768,Oi frouroi tis Ahaias
769,The Black Tulip
770,Morskoy volk
771,Der dritte Handschuh
772,Gravel
773,An Irish Country Doctor
774,I prova tou nyfikou
775,Helena
776,Hard Apple
777,Esther Waters
778,Bouvard et Pecuchet
779,Zu viele Köche
780,Leeds
781,Vlak detství a nadeje
782,Éramos Seis
783,I ektelesi
784,An Accidental Cuban
785,The Good House
786,Tiefe Wasser
787,Les grands détectives
788,The Waterfall
789,Saigon Gold
790,Comment ne pas épouser un milliardaire
791,Mue nuea mek
792,A Cabana do Pai Tomás
793,The Brotherhood of the Rose
794,The Spanish Farm
795,La guerre des femmes
796,Rebecca of Sunnybrook Farm
797,Silas Marner
798,Patapata hikousen no bouken
799,Banjo No Himawari
800,Toki o kakeru shôjo
801,Cerní baroni
802,Little Grey Rabbit
803,The Ship Who Sang
804,Salomé
805,Cheri
806,Niang yao jia ren
807,Beta
808,Les amours de la belle époque
809,Kira kira kenshûi
810,Fantom operety
811,Imaret
812,Guro
813,Come Midnight Monday
814,Feng shen bang 2
815,O megalos thymos
816,The Medusa Touch
817,Eien no ko
818,Martín Rivas
819,Yaqui Delgado Wants to Kick Your Ass
820,Cold Awakening
821,Dolly
822,Mei hua lao
823,The Master of Ballantrae
824,Diaries from Wonderland
825,The Front Runner
826,Tocaia Grande
827,Alix
828,Rouletabille
829,Zapiski po bulgarskite vastaniya
830,Galactic Derelict
831,Mastura
832,Pesma
833,Santiago
834,Crimson Rush
835,What Maisie Knew
836,Doutor Jivago
837,Le dernier civil
838,Nessuno torna indietro
839,Peterburgskie tayny
840,The Adventures of Ellery Queen
841,Captive Queen
842,Angela ja ajan tuulet
843,Vanity Fair
844,És mégis mozog a föld
845,Doña Bárbara
846,Nicholas Nickleby
847,The Master
848,Flashback
849,Conde de Monte Cristo
850,De glazen stad
851,Kemonomichi
852,Unraveling
853,Forgotten Girls
854,Ru Is on the Taiwan Express
855,Kidnapped
856,The Last Chronicle of Barset
857,Le miroir 2000
858,La casa de los Abila
859,The Investigator
860,Orgullo y prejuicio
861,Argo
862,Pod igoto
863,San heimoniatiki liakada
864,Yoshinaga san chi no Gargoyle
865,Les amours des années grises
866,Gone
867,The Progeny
868,Follow Me Down
869,Gina
870,Witch Wood
871,Laura Winslow
872,El amor nunca muere
873,Baker Street
874,Da Tang Fu Rong Yuan
875,The Franchise Affair
876,The Same Stuff As Stars
877,The Camerons
878,Stewardess monogatari
879,The Rise and Fall of César Birotteau
880,Fragments
881,Jan vom anderen Stern
882,The Last Rhino
883,The Mill on the Floss
884,Une soupe aux herbes sauvages
885,Un admirateur secret
886,Jeroom en Benzamien
887,Mera spored mera
888,Pao
889,Grazhdanin nachalnik
890,Ride on Stranger
891,Jane Eyre
892,Dead Jack
893,Lancelot
894,Jean de la Tour Miracle
895,Ji du xi yang hong
896,Fram
897,Sôgen no shôjô Laura
898,A Muralha
899,The Way of All Flesh
900,Glitches
901,Le bonheur conjugal
902,Heart of Darkness
903,Bill Bo und seine Kumpane
904,The Fifth Letter
905,Away From it All
906,A Sipsirica
907,Snakehead
908,Monster
909,Recipes for Love and Murder
910,Les chevaux du soleil
911,Sommer in Lesmona
912,Maria Speermalie
913,Premier de cordée
914,Doon
915,Mit Karl May im Orient
916,Blood Rights
917,La María
918,Gui zhang fu
919,Pan ili propal
920,Keller
921,The Black Arrow
922,Le village englouti
923,Untitled Aviator Project
924,Fiskal
925,Ann Veronica
926,Adieu mes quinze ans
927,The Three Hostages
928,Sara Crewe
929,Civilizations
930,Yövuoro
931,Präriejäger in Mexiko
932,Gang Tie Shi Zen Yang Lian Cheng De
933,Santa
934,Redheap
935,Erik of het klein insektenboek
936,Las grandes novelas
937,Mujercitas
938,Los Pardaillan
939,Two Women
940,Mechanic Butterflys
941,The Warden
942,Partidas Dobradas
943,Gebi mu qin
944,Lifeforce
945,Les habits noirs
946,Unfamous
947,Los bandidos del río frío
948,Amor de Perdição
949,Clovenhoof
950,Demon Princes
951,A Dangerous Year
952,La double vie de Théophraste Longuet
953,Essas Mulheres
954,Ángel Guerra
955,Tatli Betüs
956,Miguel Strogof
957,Honor Among Thieves
958,I racconti di Padre Brown
959,Shin Hanshichi torimono chô
960,Meiken rasshî
961,Forever Friends
962,Balumba
963,A Ponte dos Suspiros
964,El patito feo
965,The Blondes
966,Pinocchio
967,To teleftaio antio
968,Utsukushii wana
969,Máscara de Ferro
970,Sara Crewe
971,Helena
972,Howl
973,Alla vi barn i Bullerbyn
974,Le service des affaires classées
975,Noëlle aux quatre vents
976,La chasse aux hommes
977,Hawk
978,Angel Pavement
979,Angel Pavement
980,The iCizzle Show
981,Mia gynaika apo to parelthon
982,Ting yuan shen shen
983,Typhelle et Tourteron
984,The Pretty
985,Angel
986,Byli jednou dva písari
987,Esther Waters
988,Doom Castle
989,Gorri le diable
990,Titans
991,Fu Chen
992,Chto skazal pokoynik
993,Cumbres borrascosas
994,MercenAir
995,Oi teleftaioi eggonoi
996,Les amours des années 50
997,Killing Reality
998,Dona Anja
999,The Untouchable
1000,Yungermann
1001,Crossers
1002,Bambolê
1003,Outlaw Chronicles
1004,The Bell Family
1005,Uit de school geklapt
1006,The Throwers Family
1007,Le masque
1008,Pollyana Moça
1009,Een boerin in Frankrijk
1010,Si shi tong tang
1011,Jie Hun Shi Nian
1012,Damaged
1013,Maurin des maures
1014,The Gifted School
1015,Heidi
1016,True Tilda
1017,Os três Mosqueteiros
1018,The Serpents Head
1019,O Velho Scrooge
1020,Five Children and It
1021,Oliver Twist
1022,i2
1023,Sobre la misma tierra
1024,The Lost King
1025,Vigilante
1026,Monterey
1027,O Ioudas filouse yperoha
1028,A Muralha
1029,Tanin no kankei
1030,Ya qi
1031,Lyubov imperatora
1032,Il circolo Pickwick
1033,Huckleberry Finn
1034,A Quiet Vendetta
1035,O Príncipe e o Pobre
1036,The Widow of Bath
1037,One Blood
1038,De graaf van Monte Cristo
1039,DARKSPACE
1040,Les enquêtes de Sans Atout
1041,Eternity
1042,Primal
1043,Crispin
1044,Les amours des années folles
1045,Olhai os Lírios do Campo
1046,Side Trails
1047,Le provocateur
1048,Drachen hat nicht jeder
1049,Doña Bárbara
1050,Creators of Legacies
1051,Konsul Möllers Erben
1052,Os Fidalgos da Casa Mourisca
1053,Malican père et fils
1054,Vendaval
1055,O Jardineiro Espanhol
1056,O Ébrio
1057,Tormento
1058,O Resto É Silêncio
1059,El velo pintado
1060,La señora Ordóñez
1061,La ligne de démarcation
1062,The Gentle Falcon
1063,Le seize à Kerbriant
1064,5 kleidia
1065,Konec velkých prázdnin
1066,El otro
1067,Nikki Latrelle
1068,Ród Gasieniców
1069,Detective Sibanda
1070,De la tierra a la luna
1071,Byloe i dumy
1072,Der Löwe ist los
1073,Este mundo desolado
1074,O kitrinos fakellos
1075,Águeda
1076,Oi Pantheoi
1077,David Copperfield
1078,Ana Karenina
1079,Os Miseráveis
1080,Belye odezhdy
1081,Vila do Arco
1082,Xiao xiang lu 1 hao
1083,Lumière violente
1084,I foni
1085,The Adventures of Peter Simple
1086,Cumbres borrascosas
1087,Meu Pé de Laranja Lima
1088,Intrigues
1089,Urmel spielt im Schloß
1090,Epitaph for a Spy
1091,O Fiel E a Pedra
1092,Cumbres borrascosas
1093,Moreeni
1094,The Fallen Soldiers
1095,The City
1096,Os Miseráveis
1097,Comes the End
1098,Bad Juju
1099,Um Lugar ao Sol
1100,Charlie Salter Mysteries
1101,To hroma tou feggariou
1102,Kommt ein Löwe geflogen
1103,Senhora
1104,Memórias de Amor
1105,Piel de zapa
1106,See Jack Die
1107,I Do Not Exist
1108,Frédéric le gardian
1109,Nicholas
1110,La route
1111,La sonate pathétique
1112,Champion Road
1113,Les amours romantiques
1114,Invisible Agents
1115,La femme en blanc
1116,Don Blech und der goldene Junker
1117,O Coronel e o Lobisomem
1118,Fasaanit
1119,The Story of the Treasure Seekers
1120,Compendium of Magical Beasts
1121,The Eulogist
1122,Quand la liberté venait du ciel
1123,Ghost Sniper
1124,O Moço Loiro
1125,Delitto e castigo
1126,Gerfaut
1127,Tui na
1128,Imitação da Vida
1129,Jia you jiu feng
1130,Scaramouche
1131,Laura kesäleirillä
1132,Dakrysmena feggaria
1133,La vie commence à minuit
1134,A Moreninha
1135,Untitled Anaïs Nin Project
1136,O Tronco do Ipê
1137,O Jardim Encantado
1138,Aventuras de Tom Sawyer
1139,Yamada ikka no shinbô
1140,Jack
1141,The Prince and the Pauper
1142,Face aux Lancaster
1143,O Feijão e o Sonho
1144,Antisocial
1145,Teresa Raquin
1146,Alice in Wonderland
1147,Xin jie hun shi dai
1148,La vérité tient à un fil
1149,Bloodletting
1150,Never Shoot a Stampede Queen
1151,Malchik so shpagoy
1152,Treasure Over the Water
1153,The Life and Undeath of Mortimer Drake
1154,Life on Loan
1155,Az emberi kaland
1156,Paperbark Crossing
1157,Miniä
1158,Vento do Mar Aberto
1159,La princesse du rail
1160,Savage Magic
1161,Le dessous du ciel
1162,Geschiedenis mijner jeugd
1163,Une fille seule
1164,This Wicked Land
1165,Gut gebrüllt Löwe
1166,Kater Mikesch
1167,Le pèlerinage
1168,Atlanty i kariatidy
1169,Physics of Faith
1170,O Príncipe E o Mendigo
1171,Legends of the Wolf
1172,O Julgamento
1173,23 Shades of Black
1174,Shinsha no naka no onna
1175,Maple Rock
1176,Kuchû toshi zero zero hachi
1177,Iaiá Garcia
1178,La trepadora
1179,O Príncipe E o Mendigo
1180,Mary Lester
1181,The Whiskey King
1182,A Canção de Bernadete
1183,Treis hires
1184,Shadowlight Academy
1185,Ilsa
1186,The Seven Rays
1187,Ju ji sheng si xian
1188,Les Zingari
1189,Kim
1190,Mon seul amour
1191,Top stewardess monogatari
1192,Une femme seule
1193,Overworld
1194,The Front Runner Sequel Series
1195,Anges et loups
1196,Sipsevdi
1197,For the Good of the People
1198,As Três Marias
1199,Suor Jo
1200,O Turno da Noite
1201,La maison des autres
1202,Repossessed
1203,Prípady detektivní kanceláre Ostrozrak
1204,Oliver Twist
1205,Rage
1206,As Pupilas do Senhor Reitor
1207,The Chola Chronicles
1208,Jan zonder vrees
1209,Pobre Negro
1210,Ton amour et ma jeunesse
1211,Casa de Pensão
1212,Casa de Pensão
1213,Midshipman Barney
1214,Haha no suzu
1215,O Guarani
1216,Glass City
1217,Lord Schmetterhemd
1218,Peridot Flight
1219,Taco und Kaninchen
1220,O Tronco de Ipê
1221,A Intrusa
1222,Senhora
1223,Pac Heights
1224,Schatteneiland
1225,As Grandes Esperanças
1226,Skies sto peristylio
1227,La passagère
1228,The Mystery Maker
1229,Joyû Kyôko
1230,A Muralha
1231,The Riddle of the Red Wolf
1232,O Pátio das Donzelas
1233,Serras Azuis
1234,So Say the Waiters
1235,Send More Idiots
1236,Le premier juré
1237,Der Prinz von Pumpelonien
1238,Stríbrná paruka
1239,Muzhestvo
1240,Han ye
1241,Música ao Longe
